id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,220591,Meire Serafim,UNIÃO,AC,Sim
2204088-88,2024-09-09,,178983,Marcio Alvino,PL,SP,Sim
2204088-88,2024-09-09,,220653,Fábio Teruel,MDB,SP,Não
2204088-88,2024-09-09,,220611,General Pazuello,PL,RJ,Sim
2204088-88,2024-09-09,,74043,Wellington Roberto,PL,PB,Sim
2204088-88,2024-09-09,,220628,Mauricio do Vôlei,PL,MG,Sim
2204088-88,2024-09-09,,220595,Coronel Fernanda,PL,MT,Sim
2204088-88,2024-09-09,,220631,Samuel Viana,REPUBLICANOS,MG,Sim
2204088-88,2024-09-09,,205476,Charles Fernandes,PSD,BA,Sim
2204088-88,2024-09-09,,220008,Eliza Virgínia,PP,PB,Sim
2204088-88,2024-09-09,,178934,Toninho Wandscheer,PP,PR,Sim
2204088-88,2024-09-09,,204409,Daniel Trzeciak,PSDB,RS,Sim
2204088-88,2024-09-09,,220575,Sonize Barbosa,PL,AP,Sim
2204088-88,2024-09-09,,220654,Delegado Paulo Bilynskyj,PL,SP,Sim
2204088-88,2024-09-09,,204518,Dr. Frederico,PRD,MG,Sim
2204088-88,2024-09-09,,204567,Raimundo Costa,PODE,BA,Sim
2204088-88,2024-09-09,,220582,Daniel Barbosa,PP,AL,Sim
2204088-88,2024-09-09,,220670,Iza Arruda,MDB,PE,Sim
2204088-88,2024-09-09,,220526,Gilvan da Federal,PL,ES,Sim
2204088-88,2024-09-09,,220604,Marcos Tavares,PDT,RJ,Sim
2204088-88,2024-09-09,,220607,Max Lemos,PDT,RJ,Sim
2204088-88,2024-09-09,,178947,Sóstenes Cavalcante,PL,RJ,Sim
2204088-88,2024-09-09,,204388,Bibo Nunes,PL,RS,Sim
2204088-88,2024-09-09,,204525,Rosana Valle,PL,SP,Sim
2204088-88,2024-09-09,,220666,Coronel Meira,PL,PE,Sim
2204088-88,2024-09-09,,229106,Carla Ayres,PT,SC,Sim
2204088-88,2024-09-09,,74060,Daniel Almeida,PCdoB,BA,Sim
2204088-88,2024-09-09,,74160,Patrus Ananias,PT,MG,Sim
2204088-88,2024-09-09,,157130,Túlio Gadêlha,REDE,PE,Sim
2204088-88,2024-09-09,,220620,Rosângela Reis,PL,MG,Sim
2204088-88,2024-09-09,,220662,Lucas Ramos,PSB,PE,Sim
2204088-88,2024-09-09,,178986,Nilto Tatto,PT,SP,Sim
2204088-88,2024-09-09,,178954,Lucio Mosquini,MDB,RO,Sim
2204088-88,2024-09-09,,220693,Roberta Roma,PL,BA,Sim
2204088-88,2024-09-09,,229112,Pedro Jr,PL,TO,Sim
2204088-88,2024-09-09,,206018,Célia Xakriabá,PSOL,MG,Sim
2204088-88,2024-09-09,,204473,General Girão,PL,RN,Sim
2204088-88,2024-09-09,,178829,Capitão Augusto,PL,SP,Sim
2204088-88,2024-09-09,,204492,Paulo Guedes,PT,MG,Sim
2204088-88,2024-09-09,,220672,Henderson Pinto,MDB,PA,Sim
2204088-88,2024-09-09,,152605,Glauber Braga,PSOL,RJ,Sim
2204088-88,2024-09-09,,160510,Luis Tibé,AVANTE,MG,Sim
2204088-88,2024-09-09,,220548,Camila Jara,PT,MS,Sim
2204088-88,2024-09-09,,92346,Eduardo Bolsonaro,PL,SP,Sim
2204088-88,2024-09-09,,204535,Sâmia Bomfim,PSOL,SP,Sim
2204088-88,2024-09-09,,204455,Luiz Lima,PL,RJ,Sim
2204088-88,2024-09-09,,220568,Gustavo Gayer,PL,GO,Sim
2204088-88,2024-09-09,,220599,Marcelo Crivella,REPUBLICANOS,RJ,Sim
2204088-88,2024-09-09,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Sim
2204088-88,2024-09-09,,204480,Rogério Correia,PT,MG,Sim
2204088-88,2024-09-09,,220552,Zucco,PL,RS,Sim
2204088-88,2024-09-09,,220558,Zé Trovão,PL,SC,Sim
2204088-88,2024-09-09,,220592,Zezinho Barbary,PP,AC,Sim
2204088-88,2024-09-09,,161440,Pezenti,MDB,SC,Sim
2204088-88,2024-09-09,,220647,Mauricio Neves,PP,SP,Sim
2204088-88,2024-09-09,,204472,José Medeiros,PL,MT,Sim
2204088-88,2024-09-09,,220559,Julia Zanatta,PL,SC,Sim
2204088-88,2024-09-09,,160553,Antonio Brito,PSD,BA,Sim
2204088-88,2024-09-09,,220621,Sargento Gonçalves,PL,RN,Sim
2204088-88,2024-09-09,,224333,Welter,PT,PR,Sim
2204088-88,2024-09-09,,229585,Elisangela Araujo,PT,BA,Sim
2204088-88,2024-09-09,,204374,Bia Kicis,PL,DF,Sim
2204088-88,2024-09-09,,178910,Joaquim Passarinho,PL,PA,Sim
2204088-88,2024-09-09,,188097,Merlong Solano,PT,PI,Sim
2204088-88,2024-09-09,,220638,Antonio Carlos Rodrigues,PL,SP,Sim
2204088-88,2024-09-09,,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Sim
2204088-88,2024-09-09,,204410,Luisa Canziani,PSD,PR,Sim
